"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"264","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:22:09,FALSE,NA,"898943174659395584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prof_rambhagat",125,TRUE,FALSE,NA,NA
"265","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/3OQ6X7d8De",FALSE,1,NA,2017-08-19 16:19:41,FALSE,NA,"898942554627911680",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","PareshSaroj",0,FALSE,FALSE,NA,NA
"266","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/KkEmvQRtej",FALSE,0,NA,2017-08-19 16:16:08,FALSE,NA,"898941661715152897",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","utkarsh57118325",0,FALSE,FALSE,NA,NA
"267","RT @sbkanth: 18aug..sikka resigned.. share price drop. 19aug..announcing..buy back. A fishy tale of infy #Infosys #SikkaResigns",FALSE,0,NA,2017-08-19 16:14:44,FALSE,NA,"898941311486640128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kumar_vvr",1,TRUE,FALSE,NA,NA
"268","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:07:09,FALSE,NA,"898939402847531012",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GTlive9",125,TRUE,FALSE,NA,NA
"269","@jgopikrishnan70 Quality wise and execution wise, TCS is way above and beyond Infosys. After MCA fiasco it's only s… https://t.co/Vilp4CKor1",FALSE,0,"jgopikrishnan70",2017-08-19 16:06:08,TRUE,"898915139792945152","898939145216774146","2311557998","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealBombayite",0,FALSE,FALSE,NA,NA
"270","RT @rohtakites: @jainsanjay70 @Swamy39 @Infosys @jayantsinha We must not reveal how drastically Infy failed on its bid promises &amp; FM pitche…",FALSE,0,NA,2017-08-19 15:46:05,FALSE,NA,"898934099179520001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vdhyani",5,TRUE,FALSE,NA,NA
"271","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/nqodHNgt2k",FALSE,0,NA,2017-08-19 15:44:57,FALSE,NA,"898933814465970178",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","QadirRana5",0,FALSE,FALSE,NA,NA
"272","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 15:44:32,FALSE,NA,"898933709159579650",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kang_grewal",11,TRUE,FALSE,NA,NA
"273","RT @JainNirmal: Infy was first case of management transfer from founders to professionals- unfortunate it hasn't worked well https://t.co/i…",FALSE,0,NA,2017-08-19 15:44:15,FALSE,NA,"898933636916854784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ghosh_Ayan",19,TRUE,FALSE,NA,NA
"274","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 15:40:51,FALSE,NA,"898932782197424128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pOvXFKRC72Ioke8",125,TRUE,FALSE,NA,NA
"275","Artificial Intelligence and robotics: Will Vishal Sikka’s exit affect Infy’s tech edge? https://t.co/jsDqs8NnXd",FALSE,0,NA,2017-08-19 15:33:28,FALSE,NA,"898930924527783936",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","OneCloud_Ops",0,FALSE,FALSE,NA,NA
